runId,memoName,majors,storedP1,newP1,p1Delta,storedReadiness,newReadiness_simpleExclusion,newReadiness_rescaled,readinessDelta_simple,readinessDelta_rescaled,run26_oldP1_simple,run26_oldP1_rescaled,storedBadge,newBadge_simple,newBadge_rescaled,badgeFlipCause,dDimsAtOrBelow2,tensionBonusStored,minorCombinedRaw,minorCombinedPenalty,minorCapApplied
15,LGIT MedTech Market Entry_LastGen.md,8,2,1,-1,67.86,65.36,65.36,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,6,1.5,true
23,Ecolab_Parallel_Gen.md,6,2,1,-1,82.44,79.94,79.94,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,6.25,1.5,true
24,Zebra_Last_Gen.md,3,2,1.75,-0.25,73.28,72.65,72.65,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,8.25,1.5,true
25,2026-02-11_Daikin_Oxi_Corporate_1st_Gen.docx,0,4,4,0,81.88,81.88,81.88,0,0,,,READY_TO_SHIP,NEEDS_WORK,NEEDS_WORK,Stage-2 floor: D1 <= 2.0,D1,0.5,2,1.5,true
26,25-12-06_Pasha_DCnt_1st_Gen.md,3,2,1.75,-0.25,64.94,74.32,70.65,9.38,5.71,74.94,71.37,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,7,1.5,true
27,2026-02-12_Daikin_Oxi_Corporate_Last_Gen.docx,4,2.25,1.75,-0.5,73.63,72.38,72.38,-1.25,-1.25,,,NEEDS_WORK,MAJOR_REWORK,MAJOR_REWORK,Stage-1 HIGH gap (pillar <= 2.0),D1,0.5,1.25,1.25,false
28,Ecolab_Parallel_Gen.md,5,2,1.25,-0.75,82.44,80.56,80.56,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,6.25,1.5,true
29,Ecolab_Parallel_Gen.md,5,2,1.25,-0.75,81.6,79.73,79.73,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,6.75,1.5,true
30,Visiomex_1st_Gen.md,4,2,1.5,-0.5,69.59,68.34,68.34,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,7,1.5,true
31,26-01-09-Pasha_DC_Last_Gen.md,6,2,1,-1,74.67,72.17,72.17,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,13.75,1.5,true
