runId,memoIdentity,p1Score,reconciliationFailureCount,flatContradictions,minorGaps,definitionalDrifts,reasoningGaps,flatPenalty,majorPenalty,minorCombinedPenalty,totalPenalties,tensionBonus,sriStored,favoriteFriendsCount,claimCount
15,lgit medtech market entry_lastgen.md,2,8,0,7,0,17,0,2,1.5,3.5,0.5,,,
23,ecolab_parallel_gen.md,2,6,0,6,0,19,0,2,1.5,3.5,0.5,0.021,1,48
24,zebra_last_gen.md,2,3,0,10,3,20,0,2,1.5,3.5,0.5,0,0,39
25,2026-02-11_daikin_oxi_corporate_1st_gen.docx,4,0,0,4,0,4,0,0,1.5,1.5,0.5,0,0,17
26,25-12-06_pasha_dcnt_1st_gen.md,2,3,0,7,1,20,0,2,1.5,3.5,0.5,0.042,1,48
27,2026-02-12_daikin_oxi_corporate_last_gen.docx,2.25,4,0,1,0,4,0,2,1.25,3.25,0.5,0,0,14
28,ecolab_parallel_gen.md,2,5,0,7,0,18,0,2,1.5,3.5,0.5,0.204,5,49
29,ecolab_parallel_gen.md,2,5,0,7,0,20,0,2,1.5,3.5,0.5,0.082,3,49
30,visiomex_1st_gen.md,2,4,0,6,0,22,0,2,1.5,3.5,0.5,0.107,5,56
31,26-01-09-pasha_dc_last_gen.md,2,6,0,16,2,37,0,2,1.5,3.5,0.5,0.264,5,72
32,lgit medtech market entry_lastgen.md,2,7,0,8,3,18,0,2,1.5,3.5,0.5,0.26,5,50
33,lg_parallel_gen.md,2,4,0,7,0,27,0,2,1.5,3.5,0.5,0.089,5,56
34,daikin_last_gen_docx_refix,2,9,0,8,1,25,0,2,1.5,3.5,0.5,0.039,3,77
35,26-01-09-pasha_dc_last_gen.md,2,11,0,17,2,42,0,2,1.5,3.5,0.5,0.175,10,57
36,nee new york storage market entry_lastgen.md,2,7,0,14,1,22,0,2,1.5,3.5,0.5,0.071,4,56
37,samsung_final.md.docx,2,9,0,11,1,23,0,2,1.5,3.5,0.5,0.111,4,72
38,mn_4_1.docx,2,14,0,13,3,27,0,2,1.5,3.5,0.5,0.327,6,52
39,zebra final.md,2,5,0,15,0,19,0,2,1.5,3.5,0.5,0.113,3,53
40,ecolab5.docx,2,2,0,3,0,11,0,2,1.5,3.5,0.5,0.136,4,44
41,ecolab3.docx,3,1,0,9,0,10,0,1,1.5,2.5,0.5,0.347,7,49
42,ecolab2.docx,2,3,0,2,0,12,0,2,1.5,3.5,0.5,0.032,1,31
43,ecolab1.docx,2,4,0,5,0,11,0,2,1.5,3.5,0.5,0.133,4,30
44,ecolab1.docx,2,4,0,3,0,11,0,2,1.5,3.5,0.5,0.12,3,25
45,ecolab2.docx,2,3,0,1,0,11,0,2,1.5,3.5,0.5,0.067,2,30
46,visiomex_1st_gen.md,2,3,0,7,0,21,0,2,1.5,3.5,0.5,0.102,4,59
47,samsung_entry.docx,2,3,0,8,0,11,0,2,1.5,3.5,0.5,0.067,1,15
48,samsung_bus_launch.docx,2,2,0,7,0,12,0,2,1.5,3.5,0.5,0.207,4,29
49,zebrav3.docx,2,2,0,3,0,12,0,2,1.5,3.5,0.5,0.25,5,24
50,zebrav2.docx,1,3,2,5,0,12,3,2,1.5,6.5,0.5,0.188,3,32
51,samsungv5.docx,2,4,0,5,0,11,0,2,1.5,3.5,0.5,0.152,5,33
52,ecolab1.docx,2,3,0,5,0,11,0,2,1.5,3.5,0.5,0.12,3,25
53,ecolab2.docx,2,3,0,3,0,10,0,2,1.5,3.5,0.5,0.067,2,30
54,ecolab1.docx,2,3,0,5,0,11,0,2,1.5,3.5,0.5,0.12,5,50
55,ecolab2.docx,2,2,0,2,0,10,0,2,1.5,3.5,0.5,0.069,2,29
56,visiomex_1st_gen.md,2,3,0,5,0,24,0,2,1.5,3.5,0.5,0.256,11,78
57,ecolab1.docx,2,5,0,4,0,10,0,2,1.5,3.5,0.5,0.12,3,25
58,zebrav5.docx,2,4,0,6,1,10,0,2,1.5,3.5,0.5,0.286,3,28
59,sumitomo_06_09.docx,2,5,0,4,0,10,0,2,1.5,3.5,0.5,0.176,3,17
60,neev1.docx,3,1,0,4,0,10,0,1,1.5,2.5,0.5,0.125,3,32
61,neev4.docx,2,2,0,4,0,12,0,2,1.5,3.5,0.5,0,0,26
62,neev5.docx,2,4,0,5,0,9,0,2,1.5,3.5,0.5,0.063,2,32
63,reckitt eu vitamin gummy.md,2,5,0,5,0,12,0,2,1.5,3.5,0.5,0.1,1,20
64,us vitamin gummy market.md,2,15,0,12,2,23,0,2,1.5,3.5,0.5,0.184,6,49
